State FIPS code,State,Year,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer signature,Number of exemptions,Number of dependents,"Number of 
farm returns",Self-employment retirement plansNumber of returns,Self-employment retirement plans Amount,State and local income taxes Number of returns,State and local income taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Taxable income Number of returns,Taxable income Amount,Child tax credit Number of returns,Child tax credit Amount,Residential energy credit Number of returns,Residential energy credit Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded Number of returns,Overpayments refunded Amount
20,KS,2014,1336350,602980,555450,155820,732850,2668070,872440,55830,8000,166666,262740,1758054,309190,1059120,342880,3122003,250690,1659718,1033680,59318480,232250,306593,21470,8325,269230,1600416,986280,2756926
21,KY,2014,1891680,824600,760750,269530,1101110,3767690,1235220,76370,6600,139238,432810,3358574,436830,1007736,491160,4610635,381040,2382968,1395600,65722880,316910,388598,36460,14923,298770,1282755,1512970,4125096
22,LA,2014,2007690,869160,659300,451390,1098590,4012830,1453690,29570,9870,241468,379910,2080088,328500,701294,455760,3049160,315230,2369258,1467900,81947935,328020,382113,30550,34457,350570,1845959,1573410,5099881
23,ME,2014,638230,312150,252520,62500,301000,1151230,303270,4760,4230,71986,159400,1127040,163940,693534,175730,1912867,137010,950936,496700,23129240,87170,107197,18760,7832,122460,504421,483030,1145932
24,MD,2014,2935420,1418220,972010,459220,1489630,5554050,1819790,11500,26840,668869,1240100,11646137,1066230,4554982,1322070,16450307,951250,9491445,2315550,149141976,412080,480165,63880,38543,622830,2824258,2178780,6654470
25,MA,2014,3343170,1753030,1165300,361970,1859530,5981220,1744180,4770,39580,862389,1149200,11067307,1102290,6581448,1227780,18122496,934740,8611349,2697370,217607889,409860,492600,88660,59868,679790,4422706,2469630,8166695
26,MI,2014,4685120,2266430,1763490,583550,2608020,8860970,2761680,40960,21660,455443,1087610,6423206,1136410,4411472,1239710,11399785,958540,6401533,3446310,187963136,646490,831902,126390,41742,808160,3462926,3561660,9637768
27,MN,2014,2687660,1325980,1061440,264770,1470650,5097320,1567300,70300,20790,391352,871090,8082897,861140,2994812,938450,11433260,735560,5777738,2159920,131846181,412500,553594,60840,24264,589600,3006986,1945570,4983715
28,MS,2014,1243270,497280,408290,314220,729550,2568800,981810,40380,4570,87858,211680,1083610,219270,437355,283930,1761522,189190,1224723,862700,36933264,211610,234958,17500,6789,200950,938524,997850,3144121
29,MO,2014,2767190,1278710,1073100,362410,1448470,5317940,1661360,94600,13120,269998,624490,4350293,643510,1889770,719240,6726013,547610,3731659,2079860,108961068,427040,536469,45280,26006,506810,2349627,2099780,5871465
30,MT,2014,491930,238790,199130,45550,272440,912240,253330,19320,2380,45376,128440,834644,122880,336140,137290,1217731,99980,757900,374470,18927110,70880,94604,9790,4361,108940,575001,345040,841288
31,NE,2014,889030,413410,364150,98400,498700,1752840,571490,44530,5060,97353,218360,1611717,217340,877207,246390,2653413,178730,1084197,705770,38693638,155790,212519,16940,8633,179080,1147434,663100,1782483
32,NV,2014,1321660,637330,435530,227960,712400,2634610,930150,3410,4630,103302,25720,498572,263170,760981,319870,1879241,240850,2288301,1009520,56275368,222090,257418,15280,18509,241120,1371796,1014520,3247650
33,NH,2014,684980,342440,269140,59740,298780,1225930,328280,2090,6590,126622,92000,488617,202770,1456801,212730,2055165,173790,1441935,554510,35331305,92150,116903,19080,9992,131900,723023,517340,1389039
34,NJ,2014,4342400,2060790,1567250,631700,2793450,8319400,2752830,9220,43700,1138080,1489850,15566064,1558920,14446242,1780470,30594643,1252630,11459440,3405440,259085292,572220,663884,86750,38444,845150,5211110,3247610,10624767
35,NM,2014,911750,421960,318010,161480,435980,1812470,625130,13940,3380,63486,173580,891344,178620,460568,206160,1418339,157470,1285842,658550,31230324,151000,179775,14510,14099,163390,714402,692740,1911837
36,NY,2014,9523340,4832900,2974410,1523840,6198350,17502220,5574000,28860,87990,2480447,2839630,47297744,2375770,20157574,3251160,68398631,1961410,17290192,7139310,556626429,1162160,1332819,157420,94270,1797570,10473888,7165780,26395377
37,NC,2014,4380570,1862720,1658750,764480,2247210,8791330,2999260,45030,21700,464693,1104780,7716490,1126620,3265083,1269710,11516339,990960,7590034,3221760,167329270,701510,807059,73290,37654,855510,3901347,3327920,9113269
38,ND,2014,370550,188130,145010,32270,215090,683520,195670,27230,2650,59730,46660,254128,51730,164704,65150,446948,43660,332509,311730,20998457,58650,82484,6140,2756,87880,824099,263950,775907
39,OH,2014,5559640,2588180,1895430,721100,2728210,10283970,3236110,70280,29310,607939,1324680,9134885,1303010,5317718,1469550,14732938,1137400,6998899,4293330,218123277,829340,1054510,112460,43677,964560,4223215,4344570,11393608
40,OK,2014,1639760,692490,669860,243680,898170,3357080,1141300,75820,5150,104032,324260,2113267,327930,818728,391050,3080066,275130,1833845,1241650,67584210,296390,371262,20970,10052,317510,1804110,1243960,3789370
41,OR,2014,1825020,869240,724770,198830,826420,3522780,1065190,32560,13280,260682,610240,5261623,580330,2305076,649590,7667246,496750,4201923,1406780,74011904,263260,328742,24480,14249,404710,1853397,1300010,3220368
42,PA,2014,6168840,3039790,2301540,713690,3206260,11374170,3383130,43680,39670,848050,1558080,10581727,1592690,8002531,1770240,19016657,1354200,9862701,4727330,280177628,849160,1066004,146210,62614,1017200,5320437,4778820,13380828
44,RI,2014,521890,273210,171130,66920,306620,921920,269380,740,3920,74161,160000,1116543,157380,832821,171330,2079673,135910,1047399,405600,23075512,69490,81441,11790,3727,88590,427115,407560,1145552
45,SC,2014,2123820,906360,766030,390050,1154330,4188140,1424850,20520,7730,162755,497390,3296075,508310,1047850,572120,4722988,444450,3322848,1553460,73962546,333960,384036,36190,16094,427210,1758444,1608160,4304995
46,SD,2014,410850,195250,167490,41890,228080,782170,238300,31500,2250,44290,6210,59575,60270,230625,70040,400474,49120,360936,324080,18273174,66680,93012,7090,3537,90170,693923,297400,769434
47,TN,2014,2928220,1278840,1110260,477550,1469760,5815780,1950950,66330,16810,392787,49720,463249,509230,1388975,574640,3043515,443520,3561881,2148540,112227654,461380,542468,46170,19087,492640,2553501,2314460,6753166
48,TX,2014,11991140,5336100,4417190,2070750,5977730,24899460,9224930,234920,60070,1491046,123750,1359243,2270790,13652425,2674590,20305915,1975040,15402880,8930610,593506575,2086200,2511045,186070,107517,2150420,14315862,9349010,31940693
49,UT,2014,1221050,507050,564840,128310,610180,2804120,1109670,13460,3610,81376,388190,2340554,388490,899404,430400,3358075,342560,2842162,947260,49322039,272530,417880,25350,15895,238860,1245253,934040,2620339
50,VT,2014,322850,167670,122120,27700,155430,566270,143560,4390,2930,48800,81450,550173,82760,478935,88480,1047760,68100,483246,252420,13102926,42800,53493,9280,10051,61940,272402,237350,577618
51,VA,2014,3871420,1778170,1496000,499680,1712140,7526470,2396500,38470,29290,759037,1326360,9733285,1254290,4923417,1436060,15471323,1127190,11577984,3076240,200453197,574780,699155,80550,33163,797210,4038802,2911800,8494811
53,WA,2014,3342610,1577420,1347600,373580,1410960,6585840,2072180,24270,23130,483964,70660,684478,929970,4128410,1003740,7103551,826220,8538262,2701430,182142032,522390,661752,52330,36040,702640,4019639,2451830,7405852
54,WV,2014,782830,343040,332600,93090,368960,1526690,453970,14740,2810,66869,125440,924913,115810,186638,133350,1182783,100540,685638,575630,26194775,121240,153674,12650,4264,108900,463475,635890,1695658
55,WI,2014,2811160,1388250,1114450,286200,1491110,5304410,1594390,57730,15260,261267,802310,5901533,815960,3775343,885750,9983627,678560,4278781,2206190,117015342,431340,569302,64390,20556,547560,2311527,2101800,5209901
56,WY,2014,279900,131210,116020,27720,145170,542430,165120,9330,1180,24158,6320,98798,53510,138275,60530,347370,46320,417461,226080,16639794,48580,69397,5110,1695,55870,424146,208220,740135
0,US,2015,148965910,70209250,53923170,21890640,80046180,289089330,95564540,1853030,964550,23577656,32916970,331976049,37490200,187039645,44248160,550111296,32227610,277429927,113794920,7236170482,22262740,26867439,2594560,2128417,28883270,159391261,112176640,350257176
1,AL,2015,2053620,834300,763210,415730,1172420,4166050,1467040,45200,6500,148557,430440,2224129,428350,617767,529710,3132011,385620,2772904,1492170,75074369,331830,386740,39130,19239,361940,1717754,1607070,4845454
2,AK,2015,362220,185630,129670,37830,149470,671560,210430,1390,2490,54896,20350,23092,71820,318045,77510,381279,66260,636766,311070,18998134,65520,83666,5000,2885,93730,408934,251260,730541
4,AZ,2015,2904290,1311290,1068980,486620,1422490,5914410,2074020,8370,13170,304903,622930,3458774,722960,1945851,824500,6105005,637780,5609737,2190120,120380422,477890,575203,42620,49166,631900,2873968,2104250,6134837
5,AR,2015,1229010,499830,490640,214000,714030,2514050,862570,40900,2450,51507,231160,1882156,225820,437174,273610,2491739,193450,1265379,890130,44444811,207680,244892,14800,7037,222220,999114,952580,2798076
6,CA,2015,17758580,8602210,6299190,2607670,11092060,36182150,13004680,60390,168600,4474007,5001970,79898566,4817170,28311735,6105020,112546029,4278980,52560272,13628350,984502146,2701260,3109878,237570,635621,4072330,25539582,12654140,42209843
8,CO,2015,2617140,1278730,1002500,287400,1225700,5024230,1560450,28570,19530,397697,758420,5241171,757110,1991987,850480,7668598,693990,6628523,2108170,139763445,400810,507467,45260,48016,606910,3490131,1866210,5366465
9,CT,2015,1760990,873250,625550,226750,947170,3215560,966440,3210,25220,656792,661920,8751878,658710,5029196,726530,14287322,536960,4612103,1415370,127316817,220440,257813,42130,30201,354600,2378723,1299870,4911155
10,DE,2015,452740,215780,158790,67640,206040,848310,265580,1980,2330,54753,136000,960301,127990,339428,143160,1316318,116570,1010548,357410,20405321,65860,77177,9510,6609,87790,373918,345230,956229
11,DC,2015,344710,222010,57360,55230,153960,539390,146390,170,6060,208031,130440,1831495,86980,393944,137140,2254975,79090,982588,285310,24696129,28540,27517,4080,3044,75740,463363,252150,847077
12,FL,2015,9626440,4600000,3181240,1627040,5151490,17817510,5486530,35800,33570,802847,166720,3426715,1779900,9097050,2165260,15962366,1499100,13495168,7061840,458723288,1244380,1365598,158470,111176,1828010,11518422,7219210,24877245
13,GA,2015,4442090,1909860,1527140,903810,2347440,9056110,3340970,47740,20250,503883,1295780,8880349,1194610,3678905,1459010,13360726,1075560,8141864,3197880,181560363,690090,778332,74110,31891,872910,4379174,3393140,10658460
15,HI,2015,688520,345460,252900,74310,354320,1291890,384150,5610,5460,119591,171210,1538897,154950,354772,200030,1956554,141980,1810538,546730,29130735,104060,130480,15040,58105,139000,610557,500320,1372002
16,ID,2015,721850,306100,330270,78650,364470,1528460,519440,20030,2820,59467,168290,1243342,182610,469750,202360,1792950,158640,1189011,546260,26459452,134800,186434,11710,5572,156850,775233,522690,1347066
17,IL,2015,6161720,2943790,2178730,936740,3428220,11952210,4074350,66040,41780,1103747,1618400,11611854,1721880,11616727,1925520,24115443,1436680,11047522,4743210,325131535,884750,1075502,131110,54226,1100760,6285370,4741300,15372430
18,IN,2015,3104390,1438910,1189410,419600,1546880,6050030,1987360,50860,11940,269149,670910,4417207,633420,1462401,706270,6177710,548470,3477042,2323550,119850359,514540,662350,69630,28585,477380,2328944,2464910,6794417
19,IA,2015,1454210,672990,608110,153210,905770,2820150,866400,79580,9480,173519,381960,2727994,386000,1394995,428800,4349341,305720,1773531,1168940,61754663,246040,334818,31300,20716,288020,1311120,1087680,2879481
20,KS,2015,1339070,607100,552530,157010,718650,2660560,866740,55320,7700,167242,265250,1797532,307020,1100032,340940,3211062,247040,1623438,1036580,59704982,230830,304771,19270,8262,262540,1389213,993470,2850860
21,KY,2015,1909770,841130,758770,271830,1086640,3770920,1227600,73810,6600,144818,440060,3630671,439250,1049217,496000,4937011,381010,2346557,1420920,69195580,318710,390143,35330,14724,306000,1338358,1522530,4239964
22,LA,2015,1994000,863420,651160,451160,1061830,3974100,1435240,28910,9050,225812,385740,2098646,328580,719395,458130,3087303,311830,2318819,1451880,78595894,321140,371808,27740,33485,342590,1728212,1569890,5171556
23,ME,2015,645700,317810,253180,63290,300550,1157290,301920,4790,4280,75947,162120,1218613,166120,725737,178410,2039744,137910,938843,505170,24217751,87650,107773,16770,8337,125320,541385,486970,1176441
24,MD,2015,2963510,1442560,973710,459170,1481320,5570810,1810480,11600,27230,705481,1276160,12497313,1079710,4749676,1354300,17513151,959380,9408064,2345490,155947299,407110,471949,61750,44871,632620,2848258,2193430,6853928
25,MA,2015,3396580,1792980,1170380,369210,1867040,6032610,1744040,4770,40200,902473,1176300,12000330,1118190,6972122,1251810,19492308,943560,8625908,2756450,228237549,407200,484029,86610,78971,690560,4546277,2508740,8570262
26,MI,2015,4717320,2299850,1760030,582910,2593650,8853510,2732230,40750,21920,471856,1109140,6909043,1142530,4592973,1251670,12072561,956650,6246474,3506000,196574472,647600,828536,119070,39441,807850,3538535,3588160,9838321
27,MN,2015,2725090,1354120,1065080,268820,1474240,5135480,1570090,69860,20770,403069,881660,8700037,865530,3130769,945840,12206785,736120,5689672,2204550,138827805,412740,551360,57930,25042,595810,3068991,1971530,5162729
28,MS,2015,1244560,502070,406460,312160,715560,2553250,968040,40530,3720,84791,218370,1127672,218640,447588,289450,1823400,188080,1198681,867040,37704459,211170,232978,16350,7198,204800,941384,994560,3152125
29,MO,2015,2787570,1296950,1070110,366720,1437100,5331920,1662600,94470,13270,284354,639990,4709349,649740,1986110,727680,7180508,548040,3653499,2107440,113575997,431630,541663,42300,27101,515280,2494407,2109380,5938488
30,MT,2015,498450,242720,200240,46640,268950,921440,255460,19280,2330,45170,132130,908506,126240,358361,140550,1313648,102550,774750,380930,19407477,72080,96156,9210,4783,109800,554455,349420,864880
31,NE,2015,899280,419670,365800,100370,496220,1767240,575320,44460,4760,93394,222540,1673449,218740,896775,248320,2750886,178740,1081101,716890,38744849,157890,214681,15530,7863,177740,1033314,672940,1836217
32,NV,2015,1350680,655510,440130,233710,713510,2670150,934290,3430,4770,110930,27370,487107,271980,814548,332510,1989191,248140,2319427,1040110,60366640,226010,262178,16110,27297,246550,1499688,1037330,3437976
33,NH,2015,693070,348530,269700,60910,298530,1231180,325500,2120,6800,133894,94260,528778,203900,1500384,214110,2166987,173110,1405959,564750,37138071,90800,114256,17630,14190,134470,721037,522250,1440658
34,NJ,2015,4385490,2097200,1570140,632870,2797300,8339240,2731600,9170,44760,1202314,1524940,16771929,1567740,14879077,1806100,32239657,1255730,11311954,3453900,269875643,563160,649578,83890,42571,858240,5441802,3274840,10936850
35,NM,2015,917220,428060,315620,163110,424440,1807260,617790,13620,3300,63962,175150,923130,177900,472032,206160,1458867,155160,1239688,664120,31355110,150050,177343,13790,18783,162280,686022,697610,1960332
36,NY,2015,9614110,4909430,2981780,1522820,6202130,17542570,5522980,28990,88680,2591416,2921380,51675594,2394240,20904863,3319680,73591408,1966610,17162078,7269080,576917086,1150950,1313387,154290,122054,1814310,10954258,7227320,27048091
37,NC,2015,4456990,1919760,1672670,768630,2215000,8852940,2982450,43080,22360,498175,1165420,8462086,1142940,3405510,1293440,12399183,997820,7525374,3302990,179331501,708950,816722,71260,47633,857190,4090922,3398830,9556616
38,ND,2015,369350,185720,144890,33420,208720,684830,197590,27240,2210,48842,50200,256899,54460,181959,68130,464202,45440,356783,309120,19448346,59210,82844,5230,2211,83280,620491,266360,824928
39,OH,2015,5591870,2619420,1896080,729370,2694120,10291310,3217190,70030,29460,635058,1316690,9462084,1290170,5438903,1457360,15214230,1116340,6757780,4344810,226019608,830750,1053121,105350,42248,967000,4179647,4368090,11621621
40,OK,2015,1641910,693960,667640,246350,875820,3359180,1143630,76440,4680,93713,331450,2225808,328190,860164,393290,3224979,273360,1820521,1237990,66773031,294900,366704,19040,9035,308300,1635620,1252890,3907909
41,OR,2015,1874420,903970,735410,201940,830900,3582210,1069730,32500,14000,286500,636930,5948829,599490,2471521,673970,8503037,511260,4276156,1461650,80900068,268630,335552,24060,16129,420660,2057696,1331400,3393861
42,PA,2015,6200330,3063630,2293770,725440,3168610,11368970,3358520,43810,39630,876181,1570570,11321420,1593740,8228113,1776010,19977131,1346380,9657296,4770240,294119470,840090,1048912,134120,59818,1021650,5410377,4804020,13791379
44,RI,2015,527490,278680,170870,67410,305220,924520,267500,750,4000,77778,162330,1158701,158700,863060,173110,2152433,136490,1032978,414090,23595773,69920,80971,11280,5958,91540,447018,409690,1171162
45,SC,2015,2169570,933190,782240,390830,1151990,4242500,1424230,20660,8330,185898,518650,3646819,524620,1140677,592180,5187725,455260,3390476,1603160,80081328,338400,389769,35040,19428,449230,2026815,1627880,4452541
46,SD,2015,415330,198170,168210,42590,227950,788720,240090,31440,2090,41468,6660,60430,60240,239619,70170,426999,48490,357782,328970,18784557,67380,93801,6560,3106,88650,623371,302310,813156
47,TN,2015,2970000,1310690,1117460,478920,1451010,5848400,1941950,65400,17610,429563,56560,540862,505380,1426982,573930,3210319,437630,3499238,2199050,118405187,466400,549640,42410,18102,508000,2667672,2339810,6946768
48,TX,2015,12150930,5412140,4473160,2094320,5922670,25160970,9284900,237820,59060,1506085,131700,1390430,2326400,14817906,2764840,21620476,2009980,15716583,9067840,597962492,2092450,2497560,180010,119554,2172860,13483059,9476280,33538351
49,UT,2015,1263670,533560,577860,131080,619230,2862140,1120310,13640,3770,87236,405590,2602372,401910,975743,446090,3696322,353260,2920619,989970,52987621,278420,429592,26410,31939,252470,1305230,960720,2738571
50,VT,2015,326070,170400,121960,28140,155200,567690,142220,4380,2870,47941,82610,591396,83100,496123,88910,1102936,67690,474149,255410,13366779,42440,52619,8480,11948,61490,279874,240290,599977
51,VA,2015,3911570,1807380,1501380,503800,1696030,7556420,2388750,38260,29740,799721,1352350,10469188,1265880,5155381,1458060,16457030,1129700,11459557,3116750,208191179,571680,693155,76040,35249,805010,4029737,2940860,8778915
53,WA,2015,3432480,1633570,1371390,381860,1419770,6714820,2093910,24250,23880,517466,76580,761999,950000,4457551,1027320,7604966,839500,8610276,2796240,196172982,529060,672946,49940,43895,724730,4574155,2515280,7615589
54,WV,2015,780830,343180,328650,94640,357480,1517070,450320,14890,2730,65635,125240,980990,115360,193885,132530,1249320,99210,668232,575690,26433389,119860,150703,11710,4511,108350,458226,634420,1727166
55,WI,2015,2840510,1412750,1115260,289000,1486370,5314030,1577630,57290,15210,267056,801690,6215904,809610,3783637,881970,10276776,669340,4136781,2238850,123020513,430860,568052,58050,18914,551470,2374825,2117480,5382036
56,WY,2015,278600,129830,115760,27960,140500,541010,164900,9430,1130,23071,6290,104213,53680,143525,60280,370389,45950,410938,224290,15998005,48130,68320,4530,1677,54540,346623,207650,816174
